listing_id,product_family_key,brand,device_type,price_usd,condition_grade,condition_tier,gpu_brand,processor_brand,processor_family,processor_generation,processor_speed_ghz,os,storage_type,hdd_capacity_gb,ssd_capacity_gb,total_storage_gb,storage_tier,ram_gb,ram_tier,screen_size_inch,screen_tier,display_width_px,display_height_px,color,feature_count,has_touchscreen,has_backlit_keyboard,has_bluetooth,has_wifi
2290,HP_Unknown_Unk_Unk_Unk,HP,Other,101.25,Used,Used,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
2291,HP_ryzen3_16GB_Unk_14-16in,HP,Notebook/Laptop,300.0,Refurbished - Very Good,Refurbished,Amd,AMD,ryzen 3,,2.0,Windows,SSD,,,,Unk,16.0,16GB,14.0,14-16in,1920.0,1080.0,Silver,1,False,False,False,True
2292,Asus_celeron_4GB_32GB_Sub-12in,Asus,Other,42.0,Used,Used,Other,Intel,celeron,,1.6,Chrome,SSD,16.0,16.0,32.0,32GB,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Gray,6,False,False,True,True
2293,Asus_celeron_4GB_Unk_Sub-12in,Asus,Notebook/Laptop,25.0,Unknown,Unknown,Intel,Intel,celeron,,1.6,Chrome,EMMC,,,,Unk,4.0,4GB,11.6,Sub-12in,1366.0,768.0,Gray,7,True,False,True,True
2294,Microsoft_ryzen7_8GB_2TB_14-16in,Microsoft,Notebook/Laptop,739.0,Unknown,Unknown,Amd,AMD,ryzen 7,,2.0,Windows,SSD,512.0,512.0,1024.0,2TB,8.0,8GB,15.0,14-16in,,,Black,6,True,True,True,True
2295,HP_Unknown_Unk_Unk_Unk,HP,Notebook/Laptop,380.0,New,New,Other,Unknown,Unknown,,,Unknown,Unknown,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
2296,Lenovo_i5_8GB_1TB_14-16in,Lenovo,Notebook/Laptop,95.0,Used,Used,Intel,Intel,i5,6.0,2.4,Windows,SSD,465.0,256.0,721.0,1TB,8.0,8GB,14.0,14-16in,,,Black,5,False,False,True,True
2297,Other/Unbranded_Other/Unspecified_Unk_Unk_Unk,Other/Unbranded,Notebook/Laptop,95.7,For Parts / Not Working,End-of-Life,Other,Other,Other/Unspecified,,,Unknown,OTHER,,,,Unk,,Unk,,Unk,,,Other,0,False,False,False,False
2298,Other/Unbranded_atom_2GB_32GB_Sub-12in,Other/Unbranded,Notebook/Laptop,69.6,Used,Used,Intel,Intel,atom,,1.44,Linux,EMMC,,32.0,32.0,32GB,2.0,2GB,11.0,Sub-12in,1280.0,720.0,Other,5,False,False,False,True
2299,Lenovo_i7_16GB_512GB_14-16in,Lenovo,Notebook/Laptop,630.0,Refurbished - Certified,Refurbished,Intel,Intel,i7,12.0,1.3,Windows,SSD,,512.0,512.0,512GB,16.0,16GB,15.6,14-16in,1920.0,1080.0,Gray,6,False,True,True,True
