Brand,Price,Condition,GPU,Processor_Family,Processor_Speed_GHz,Type,OS,Storage_Type,Storage_GB,Screen_Size_in,RAM_GB,Model_Key
asus,70.0,Used,intel,i5,2.5,notebook/laptop,windows,hdd/ssd,750.0,15.6,6.0,asus_i5_standard
samsung,48.0,Unknown,other,celeron,2.0,notebook/laptop,chrome,unknown,16.0,11.6,4.0,samsung_celeron_small
hp,525.0,Used,nvidia,i7,2.6,notebook/laptop,windows,ssd,512.0,17.3,64.0,hp_i7_large
lenovo,44.0,Used,other,celeron,1.1,other,chrome,ssd,32.0,11.6,4.0,lenovo_celeron_small
other,439.0,Refurbished,intel,i5,2.4,notebook/laptop,windows,ssd,512.0,14.0,16.0,other_i5_mid
lg,589.0,Unknown,intel,i7,2.9,notebook/laptop,windows,ssd,512.0,17.0,16.0,lg_i7_large
other,370.0,Unknown,intel,i5,2.4,notebook/laptop,windows,ssd,512.0,14.1,8.0,other_i5_standard
lg,375.0,Used,other,i5,,other,unknown,unknown,,,,lg_i5_unknown
lenovo,139.0,Used,intel,i5,1.6,notebook/laptop,unknown,ssd,,13.3,16.0,lenovo_i5_mid
other,136.0,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,350.0,Refurbished,amd,ryzen5,2.1,notebook/laptop,windows,ssd,256.0,13.3,8.0,lenovo_ryzen5_mid
lenovo,51.0,Used,other,celeron,1.6,notebook/laptop,chrome,ssd,16.0,11.6,4.0,lenovo_celeron_small
lenovo,100.0,Used,other,other,,notebook/laptop,unknown,unknown,,15.6,,lenovo_other_standard
hp,1149.0,New,nvidia,i7,2.4,notebook/laptop,windows,ssd,1024.0,16.1,16.0,hp_i7_large
other,384.8,Used,other,celeron,1.5,notebook/laptop,windows,ssd,,7.0,8.0,other_celeron_small
dell,159.8,Used,other,i5,3.0,notebook/laptop,windows,ssd,256.0,14.0,16.0,dell_i5_mid
hp,100.0,Unknown,intel,celeron,1.1,notebook/laptop,chrome,emmc,16.0,11.6,4.0,hp_celeron_small
other,158.0,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,402.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,195.4,New,intel,other,,other,unknown,unknown,,,,other_other_unknown
samsung,117.0,Unknown,other,other,,other,unknown,unknown,,14.0,,samsung_other_mid
lenovo,527.0,Refurbished,intel,i3,2.4,notebook/laptop,windows,ssd,480.0,13.0,,lenovo_i3_mid
other,577.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,335.5,Used,intel,i5,3.0,notebook/laptop,windows,ssd,480.0,14.0,,dell_i5_mid
other,97.75,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,539.0,Used,intel,i5,2.7,notebook/laptop,windows,unknown,2048.0,14.0,,dell_i5_mid
other,41.88,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,420.5,Used,intel,i5,3.0,notebook/laptop,windows,ssd,240.0,14.0,,other_i5_mid
lenovo,520.5,Used,intel,i5,2.8,notebook/laptop,windows,unknown,960.0,14.0,,lenovo_i5_mid
dell,97.2,For Parts,intel,i5,2.4,notebook/laptop,unknown,hdd/ssd,,14.0,8.0,dell_i5_mid
other,74.75,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,1090.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,111.4,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,341.0,Refurbished,intel,i5,,other,windows,unknown,240.0,13.3,,lenovo_i5_mid
other,127.75,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,2146.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,97.2,For Parts,intel,i5,2.3,notebook/laptop,unknown,hdd/ssd,,14.0,4.0,dell_i5_mid
other,128.6,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,510.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
samsung,117.0,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
other,442.2,Used,other,other,2.26,other,unknown,unknown,160.0,,,other_other_unknown
other,463.2,Refurbished,intel,i5,,other,windows,unknown,120.0,15.6,,other_i5_standard
other,131.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,580.0,Used,intel,i5,3.0,notebook/laptop,windows,unknown,120.0,14.0,,other_i5_mid
lenovo,405.0,Used,intel,i3,3.0,notebook/laptop,windows,ssd,128.0,13.3,,lenovo_i3_mid
other,100.3,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,128.6,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,80.5,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,673.5,Used,intel,i3,3.0,notebook/laptop,windows,ssd,960.0,12.5,,lenovo_i3_mid
other,159.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lg,92.94,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,36.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,508.5,Used,intel,i5,3.0,notebook/laptop,windows,ssd,480.0,15.6,,other_i5_standard
other,316.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,10.85,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,18.11,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,120.3,Refurbished,intel,i5,1.9,notebook/laptop,windows,hdd/ssd,500.0,12.5,8.0,lenovo_i5_mid
dell,422.8,Used,intel,i5,2.3,notebook/laptop,windows,ssd,240.0,12.5,,dell_i5_mid
other,323.2,Used,intel,i5,2.3,notebook/laptop,windows,ssd,120.0,13.3,,other_i5_mid
microsoft,1044.0,Refurbished,intel,i7,3.0,notebook/laptop,windows,ssd,256.0,13.5,,microsoft_i7_mid
other,361.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,808.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,91.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,129.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,69.6,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,319.0,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,21.7,For Parts,other,other,,other,unknown,unknown,,,,other_other_unknown
other,291.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
samsung,103.44,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
lg,92.5,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
hp,91.44,New,other,other,,other,unknown,unknown,,,,hp_other_unknown
dell,366.8,Used,intel,i5,2.7,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,395.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,134.6,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,375.8,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,197.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,339.0,Refurbished,nvidia,other,,other,unknown,unknown,,,,other_other_unknown
dell,371.0,Used,intel,i5,3.1,notebook/laptop,windows,unknown,480.0,14.0,,dell_i5_mid
other,733.0,Refurbished,intel,i5,3.0,notebook/laptop,windows,ssd,2048.0,13.3,,other_i5_mid
lenovo,565.0,Used,intel,celeron,1.6,notebook/laptop,windows,ssd,480.0,15.6,,lenovo_celeron_standard
other,69.44,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,92.0,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,296.2,Used,intel,i5,,notebook/laptop,windows,unknown,120.0,14.0,,dell_i5_mid
other,109.25,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,604.5,Used,amd,i5,,notebook/laptop,windows,unknown,480.0,15.6,,dell_i5_standard
other,3098.0,New,intel,i7,2.4,notebook/laptop,windows,unknown,960.0,13.3,,other_i7_mid
other,116.06,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,46.53,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,1128.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,2182.0,Refurbished,intel,i7,1.99,notebook/laptop,windows,ssd,480.0,14.0,,other_i7_mid
samsung,94.9,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
other,111.94,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,2574.0,New,intel,i7,2.4,notebook/laptop,windows,unknown,960.0,13.3,,other_i7_mid
dell,105.0,New,other,other,,other,unknown,unknown,,,,dell_other_unknown
other,376.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,1121.0,Used,intel,other,,notebook/laptop,windows,unknown,960.0,11.6,,dell_other_small
other,52.75,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,135.4,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,510.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,133.2,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,369.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,364.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,107.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,209.8,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,127.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,129.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,21.88,For Parts,other,pentium,,other,unknown,unknown,,14.0,,other_pentium_mid
other,327.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,419.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,332.2,Used,intel,i5,2.3,notebook/laptop,windows,ssd,240.0,13.3,,other_i5_mid
other,87.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,37.88,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,293.0,Used,intel,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,285.2,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,113.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
samsung,137.9,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
other,536.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,540.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,44.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
asus,107.0,New,other,other,,other,unknown,unknown,,,,asus_other_unknown
hp,60.84,New,other,other,,other,unknown,unknown,,,,hp_other_unknown
other,104.75,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,346.5,Refurbished,nvidia,i5,2.6,notebook/laptop,windows,unknown,120.0,14.0,,dell_i5_mid
other,334.8,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,405.2,Used,nvidia,i5,,notebook/laptop,windows,unknown,480.0,14.0,,dell_i5_mid
samsung,91.56,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
samsung,113.9,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
other,112.3,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,334.8,Used,intel,i5,2.7,notebook/laptop,windows,unknown,120.0,14.0,,dell_i5_mid
other,340.2,Refurbished,other,other,,other,unknown,unknown,,,,other_other_unknown
other,450.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,1737.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,263.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,469.5,Refurbished,intel,i5,3.0,notebook/laptop,windows,ssd,120.0,15.6,,dell_i5_standard
dell,410.8,Used,intel,i5,3.0,notebook/laptop,windows,unknown,960.0,14.0,,dell_i5_mid
other,95.4,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,411.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,322.0,Used,intel,i3,3.0,notebook/laptop,windows,ssd,256.0,13.3,,other_i3_mid
lenovo,420.8,Refurbished,intel,i3,,other,windows,unknown,128.0,15.6,,lenovo_i3_standard
other,92.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,665.0,Used,intel,i5,,other,windows,unknown,240.0,13.3,,lenovo_i5_mid
other,77.06,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,588.5,Used,intel,i3,,notebook/laptop,windows,unknown,960.0,13.3,,other_i3_mid
other,827.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,1047.0,Used,intel,other,2.9,notebook/laptop,windows,unknown,960.0,11.6,,dell_other_small
other,190.6,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,815.0,Used,intel,i5,2.8,notebook/laptop,windows,ssd,2048.0,12.5,,dell_i5_mid
other,134.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,320.2,Used,nvidia,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,182.6,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,772.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,577.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,507.8,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,526.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,490.0,Used,intel,i5,,notebook/laptop,windows,unknown,240.0,14.0,,lenovo_i5_mid
other,377.8,Used,intel,i5,,other,windows,unknown,256.0,14.0,,other_i5_mid
other,411.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,841.5,Refurbished,intel,i5,3.0,notebook/laptop,windows,unknown,960.0,14.0,,other_i5_mid
other,29.3,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,374.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lg,92.6,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,141.9,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,646.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,472.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
hp,91.0,New,other,other,,other,unknown,unknown,,,,hp_other_unknown
lg,70.5,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
dell,362.5,Used,intel,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,103.25,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,2326.0,Refurbished,intel,i7,1.99,notebook/laptop,windows,ssd,2048.0,14.0,,other_i7_mid
other,160.4,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,10.9,Used,other,other,,other,unknown,unknown,,15.6,,other_other_standard
lenovo,489.0,Used,intel,i5,2.4,notebook/laptop,windows,ssd,240.0,14.0,,lenovo_i5_mid
other,275.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,432.5,Used,intel,i5,,notebook/laptop,windows,unknown,480.0,14.0,,dell_i5_mid
other,456.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,103.56,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,335.8,Used,nvidia,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,164.4,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,91.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,91.3,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,424.8,Used,intel,i5,2.8,notebook/laptop,windows,unknown,120.0,12.5,,dell_i5_mid
other,316.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,423.5,Used,intel,i5,2.8,notebook/laptop,windows,unknown,240.0,12.5,,dell_i5_mid
other,234.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,753.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,2096.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,377.8,Used,intel,i5,,other,windows,unknown,256.0,14.0,,lenovo_i5_mid
other,419.8,Used,intel,i5,3.0,notebook/laptop,windows,ssd,240.0,14.0,,other_i5_mid
other,401.0,Used,intel,i5,,notebook/laptop,windows,unknown,120.0,13.3,,other_i5_mid
dell,320.2,Used,nvidia,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,371.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,442.5,Used,intel,i5,2.3,notebook/laptop,windows,ssd,240.0,12.5,,dell_i5_mid
other,365.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
lg,97.06,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,101.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
samsung,112.8,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
other,95.25,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,508.5,Used,intel,i5,3.0,notebook/laptop,windows,ssd,480.0,15.6,,other_i5_standard
dell,67.3,For Parts,other,i5,,notebook/laptop,unknown,unknown,,14.0,,dell_i5_mid
other,33.5,For Parts,other,other,,other,unknown,unknown,,,,other_other_unknown
other,78.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,422.8,Used,intel,i5,2.3,notebook/laptop,windows,ssd,240.0,12.5,,dell_i5_mid
lg,125.06,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,232.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,215.9,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,457.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,128.5,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,640.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,45.28,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,21.7,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,127.94,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,236.0,For Parts,other,i5,,notebook/laptop,unknown,unknown,,11.6,,other_i5_small
other,511.5,Refurbished,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,510.0,Used,amd,i5,3.0,notebook/laptop,windows,unknown,240.0,15.6,,dell_i5_standard
other,279.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,3356.0,New,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,1019.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
acer,81.2,New,other,other,,other,unknown,unknown,,,,acer_other_unknown
lg,110.8,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,2680.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,1363.0,Refurbished,intel,i5,1.99,notebook/laptop,windows,ssd,4096.0,10.8,,dell_i5_small
other,2326.0,Refurbished,intel,i7,1.8,notebook/laptop,windows,ssd,960.0,14.0,,other_i7_mid
dell,106.25,Used,other,i5,2.3,notebook/laptop,unknown,hdd/ssd,500.0,14.0,8.0,dell_i5_mid
other,131.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,60.84,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,182.6,Used,other,i5,,other,windows,unknown,500.0,14.0,,dell_i5_mid
other,117.3,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,99.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
asus,22.22,For Parts,other,pentium,,other,unknown,unknown,,14.0,,asus_pentium_mid
other,302.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,340.8,Used,intel,i5,2.8,notebook/laptop,windows,unknown,240.0,14.0,,lenovo_i5_mid
samsung,91.7,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
other,162.6,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,59.4,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
other,322.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,539.0,Used,intel,i5,2.7,notebook/laptop,windows,unknown,2048.0,14.0,,dell_i5_mid
lg,95.94,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
dell,373.8,Refurbished,intel,i5,,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,124.1,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,97.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,84.1,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,67.06,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,330.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,711.0,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,35.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,341.8,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
lg,90.2,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
other,28.44,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,92.7,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,50.75,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,470.5,Used,intel,i5,2.8,notebook/laptop,windows,unknown,240.0,12.5,,dell_i5_mid
dell,280.0,Used,intel,i5,3.0,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,262.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,650.5,Used,intel,i3,1.49,notebook/laptop,windows,ssd,960.0,15.6,,lenovo_i3_standard
other,568.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,99.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,863.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
dell,331.0,Used,intel,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,232.1,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,266.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,47.1,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,425.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,81.6,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,932.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,135.8,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,1002.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,533.5,Used,intel,i3,3.0,notebook/laptop,windows,ssd,240.0,12.5,,lenovo_i3_mid
dell,303.8,Used,intel,i5,2.6,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
other,273.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,245.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,743.0,Used,intel,i5,,other,windows,unknown,960.0,14.0,,lenovo_i5_mid
other,280.2,Used,other,i5,2.5,notebook/laptop,unknown,unknown,,,4.0,other_i5_unknown
other,724.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,151.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,463.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,391.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,264.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,93.0,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,726.0,Used,intel,i3,,other,windows,unknown,960.0,15.6,,lenovo_i3_standard
other,59.28,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,90.06,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,413.2,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,571.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,921.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,531.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,432.2,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,134.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,442.0,Used,intel,i5,2.7,notebook/laptop,windows,unknown,960.0,14.0,,dell_i5_mid
other,2280.0,New,intel,i5,1.6,notebook/laptop,windows,unknown,,15.6,,other_i5_standard
dell,1014.5,Used,intel,other,,notebook/laptop,windows,unknown,120.0,11.6,,dell_other_small
lenovo,602.0,Used,intel,i5,,notebook/laptop,windows,unknown,240.0,14.0,,lenovo_i5_mid
other,414.8,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,60.84,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,124.9,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,372.5,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,315.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,751.0,Used,intel,i5,,notebook/laptop,windows,unknown,240.0,14.0,,lenovo_i5_mid
other,542.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,517.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,607.0,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,465.5,Used,intel,i5,1.99,notebook/laptop,windows,ssd,240.0,12.5,,lenovo_i5_mid
lenovo,772.5,Used,intel,i5,,notebook/laptop,windows,unknown,480.0,14.0,,lenovo_i5_mid
other,168.1,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,462.8,Used,intel,i5,2.6,notebook/laptop,windows,unknown,960.0,14.0,,dell_i5_mid
other,856.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,805.5,Used,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,525.0,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,401.8,Used,intel,i5,2.8,notebook/laptop,windows,unknown,240.0,12.5,,dell_i5_mid
lenovo,465.5,Used,intel,i5,1.99,notebook/laptop,windows,ssd,240.0,12.5,,lenovo_i5_mid
other,328.8,Refurbished,intel,other,,other,unknown,unknown,,,,other_other_unknown
other,89.8,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,112.3,New,other,other,,other,unknown,unknown,,,,other_other_unknown
samsung,127.8,New,other,other,,other,unknown,unknown,,,,samsung_other_unknown
other,42.2,New,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,444.5,Used,intel,i5,2.8,notebook/laptop,windows,unknown,240.0,12.5,,dell_i5_mid
other,93.94,New,other,other,,other,unknown,unknown,,,,other_other_unknown
lenovo,656.5,Used,intel,i5,2.8,notebook/laptop,windows,unknown,2048.0,14.0,,lenovo_i5_mid
other,334.0,Used,other,other,,other,unknown,unknown,,,,other_other_unknown
other,205.1,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,141.5,New,other,other,,other,unknown,unknown,,,,other_other_unknown
other,707.5,Refurbished,intel,i5,2.3,notebook/laptop,windows,ssd,2048.0,13.3,,other_i5_mid
other,336.2,Used,nvidia,other,,other,unknown,unknown,,,,other_other_unknown
dell,129.6,For Parts,intel,i5,2.4,notebook/laptop,unknown,other,256.0,14.0,8.0,dell_i5_mid
other,58.97,Unknown,other,other,,other,unknown,unknown,,,,other_other_unknown
dell,334.5,Refurbished,intel,i5,,notebook/laptop,windows,unknown,120.0,14.0,,dell_i5_mid
lg,94.0,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
lenovo,323.0,Used,intel,i5,,other,windows,unknown,240.0,13.3,,lenovo_i5_mid
dell,280.0,Used,intel,i5,3.0,notebook/laptop,windows,unknown,240.0,14.0,,dell_i5_mid
hp,119.06,New,other,other,,other,unknown,unknown,,,,hp_other_unknown
other,22.0,For Parts,other,pentium,,other,unknown,unknown,,15.0,,other_pentium_standard
lg,90.44,New,other,other,,other,unknown,unknown,,,,lg_other_unknown
